Datum,Banka,Fixace,Sazba (%),Zdroj,Odkaz
2021-02-01,"ČNB — průměr trhu",5 let,2.02,cnb,cnb.cz/arad
2021-01-01,"ČNB — průměr trhu",5 let,2.02,cnb,cnb.cz/arad
2020-12-01,"ČNB — průměr trhu",5 let,2.03,cnb,cnb.cz/arad
2020-11-01,"ČNB — průměr trhu",5 let,2.05,cnb,cnb.cz/arad
2020-10-01,"ČNB — průměr trhu",5 let,2.1,cnb,cnb.cz/arad
2020-09-01,"ČNB — průměr trhu",5 let,2.14,cnb,cnb.cz/arad
2020-08-01,"ČNB — průměr trhu",5 let,2.2,cnb,cnb.cz/arad
2020-07-01,"ČNB — průměr trhu",5 let,2.29,cnb,cnb.cz/arad
2020-06-01,"ČNB — průměr trhu",5 let,2.36,cnb,cnb.cz/arad
2020-05-01,"ČNB — průměr trhu",5 let,2.44,cnb,cnb.cz/arad
2020-04-01,"ČNB — průměr trhu",5 let,2.41,cnb,cnb.cz/arad
2020-03-01,"ČNB — průměr trhu",5 let,2.47,cnb,cnb.cz/arad
2020-02-01,"ČNB — průměr trhu",5 let,2.52,cnb,cnb.cz/arad
2020-01-01,"ČNB — průměr trhu",5 let,2.47,cnb,cnb.cz/arad
2019-12-01,"ČNB — průměr trhu",5 let,2.43,cnb,cnb.cz/arad
2019-11-01,"ČNB — průměr trhu",5 let,2.47,cnb,cnb.cz/arad
2019-10-01,"ČNB — průměr trhu",5 let,2.49,cnb,cnb.cz/arad
2019-09-01,"ČNB — průměr trhu",5 let,2.55,cnb,cnb.cz/arad
2019-08-01,"ČNB — průměr trhu",5 let,2.66,cnb,cnb.cz/arad
2019-07-01,"ČNB — průměr trhu",5 let,2.68,cnb,cnb.cz/arad
2019-06-01,"ČNB — průměr trhu",5 let,2.73,cnb,cnb.cz/arad
2019-05-01,"ČNB — průměr trhu",5 let,2.76,cnb,cnb.cz/arad
2019-04-01,"ČNB — průměr trhu",5 let,2.78,cnb,cnb.cz/arad
2019-03-01,"ČNB — průměr trhu",5 let,2.81,cnb,cnb.cz/arad
2019-02-01,"ČNB — průměr trhu",5 let,2.8,cnb,cnb.cz/arad
2019-01-01,"ČNB — průměr trhu",5 let,2.75,cnb,cnb.cz/arad
2018-12-01,"ČNB — průměr trhu",5 let,2.75,cnb,cnb.cz/arad
2018-11-01,"ČNB — průměr trhu",5 let,2.64,cnb,cnb.cz/arad
2018-10-01,"ČNB — průměr trhu",5 let,2.58,cnb,cnb.cz/arad
2018-09-01,"ČNB — průměr trhu",5 let,2.51,cnb,cnb.cz/arad
2018-08-01,"ČNB — průměr trhu",5 let,2.48,cnb,cnb.cz/arad
2018-07-01,"ČNB — průměr trhu",5 let,2.44,cnb,cnb.cz/arad
2018-06-01,"ČNB — průměr trhu",5 let,2.44,cnb,cnb.cz/arad
2018-05-01,"ČNB — průměr trhu",5 let,2.43,cnb,cnb.cz/arad
2018-04-01,"ČNB — průměr trhu",5 let,2.44,cnb,cnb.cz/arad
2018-03-01,"ČNB — průměr trhu",5 let,2.4,cnb,cnb.cz/arad
2018-02-01,"ČNB — průměr trhu",5 let,2.31,cnb,cnb.cz/arad
2018-01-01,"ČNB — průměr trhu",5 let,2.3,cnb,cnb.cz/arad
2017-12-01,"ČNB — průměr trhu",5 let,2.21,cnb,cnb.cz/arad
2017-11-01,"ČNB — průměr trhu",5 let,2.18,cnb,cnb.cz/arad
2017-10-01,"ČNB — průměr trhu",5 let,2.16,cnb,cnb.cz/arad
2017-09-01,"ČNB — průměr trhu",5 let,2.11,cnb,cnb.cz/arad
2017-08-01,"ČNB — průměr trhu",5 let,2.09,cnb,cnb.cz/arad
2017-07-01,"ČNB — průměr trhu",5 let,2.1,cnb,cnb.cz/arad
2017-06-01,"ČNB — průměr trhu",5 let,2.09,cnb,cnb.cz/arad
2017-05-01,"ČNB — průměr trhu",5 let,2.08,cnb,cnb.cz/arad
2017-04-01,"ČNB — průměr trhu",5 let,2.07,cnb,cnb.cz/arad
2017-03-01,"ČNB — průměr trhu",5 let,2.04,cnb,cnb.cz/arad
2017-02-01,"ČNB — průměr trhu",5 let,2.04,cnb,cnb.cz/arad
2017-01-01,"ČNB — průměr trhu",5 let,2.11,cnb,cnb.cz/arad
2016-12-01,"ČNB — průměr trhu",5 let,2.03,cnb,cnb.cz/arad
2016-11-01,"ČNB — průměr trhu",5 let,1.98,cnb,cnb.cz/arad
2016-10-01,"ČNB — průměr trhu",5 let,2.05,cnb,cnb.cz/arad
2016-09-01,"ČNB — průměr trhu",5 let,2.03,cnb,cnb.cz/arad
2016-08-01,"ČNB — průměr trhu",5 let,2.06,cnb,cnb.cz/arad
2016-07-01,"ČNB — průměr trhu",5 let,2.12,cnb,cnb.cz/arad
2016-06-01,"ČNB — průměr trhu",5 let,2.09,cnb,cnb.cz/arad
2016-05-01,"ČNB — průměr trhu",5 let,2.13,cnb,cnb.cz/arad
2016-04-01,"ČNB — průměr trhu",5 let,2.17,cnb,cnb.cz/arad
2016-03-01,"ČNB — průměr trhu",5 let,2.13,cnb,cnb.cz/arad
2016-02-01,"ČNB — průměr trhu",5 let,2.22,cnb,cnb.cz/arad
2016-01-01,"ČNB — průměr trhu",5 let,2.27,cnb,cnb.cz/arad
2015-12-01,"ČNB — průměr trhu",5 let,2.2,cnb,cnb.cz/arad
